,STAID,STANAME,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN-2009,CLASS,AGGECOREGION
7563,11078000.0,SANTA ANA R A SANTA ANA CA,6328.9,18,33.751128,-117.908391,CA,,Non-ref,WestXeric
7564,11080500.0,EF SAN GABRIEL R NR CAMP BONITA CA,219.3,18,34.235838,-117.805893,CA,,Ref,WestXeric
7565,11082000.0,WF SAN GABRIEL R A CAMP RINCON CA,265.9,18,34.241115,-117.863395,CA,,Non-ref,WestXeric
7566,11084500.0,FISH C NR DUARTE CA,15.4,18,34.16584,-117.92423000000001,CA,,Ref,WestXeric
7567,11085000.0,SAN GABRIEL R BL SANTA FE DAM NR BALDWIN PK CA,609.0,18,34.11223,-117.969509,CA,,Non-ref,WestXeric
7568,11086300.0,SAN DIMAS C BL SAN DIMAS DAM CA,42.1,18,34.152784999999994,-117.772558,CA,,Non-ref,WestXeric
7569,11086500.0,LITTLE DALTON C NR GLENDORA CA,7.2,18,34.167507,-117.838394,CA,,Ref,WestXeric
7570,11087020.0,SAN GABRIEL R AB WHITTIER NARROWS DAM CA,1130.0,18,34.033344,-118.038123,CA,,Non-ref,WestXeric
7571,11087500.0,SAN GABRIEL R A PICO CA,1145.9,18,34.013068,-118.06423400000001,CA,,Non-ref,WestXeric
7572,11088000.0,SAN GABRIEL R A SPRING ST NR LOS ALAMITOS CA,1179.6,18,33.811961,-118.090898,CA,,Non-ref,WestXeric
7573,11088500.0,BREA C BL BREA DAM NR FULLERTON CA,59.9,18,33.887792,-117.92645,CA,,Non-ref,WestXeric
7574,11089000.0,BREA C A FULLERTON CA,65.1,18,33.873626,-117.925894,CA,,Non-ref,WestXeric
7575,11089500.0,FULLERTON C BL FULLERTON DAM NR BREA CA,13.1,18,33.895848,-117.88617099999999,CA,,Non-ref,WestXeric
7576,11090200.0,FULLERTON C A RICHMAN AVE AT FULLERTON CA,28.5,18,33.862515,-117.93283799999999,CA,,Non-ref,WestXeric
7577,11092450.0,LOS ANGELES R A SEPULVEDA DAM CA,402.6,18,34.161671999999996,-118.466749,CA,,Non-ref,WestXeric
7578,11093000.0,PACOIMA C NR SAN FERNANDO CA,73.3,18,34.335277000000005,-118.398137,CA,,Non-ref,WestXeric
7579,11094000.0,TUJUNGA C BL MILL C NR COLBY RANCH CA,168.0,18,34.309166999999995,-118.14535,CA,,Ref,WestXeric
7580,11095500.0,BIG TUJUNGA C NR SUNLAND CA,274.1,18,34.300556,-118.26868799999998,CA,,Non-ref,WestXeric
7581,11096500.0,LITTLE TUJUNGA C NR SAN FERNANDO CA,55.0,18,34.274446000000005,-118.37258,CA,,Ref,WestXeric
7582,11097000.0,BIG TUJUNGA C BL HANSEN DAM CA,395.9,18,34.253614,-118.38897,CA,,Non-ref,WestXeric
7583,11097500.0,LOS ANGELES R A LOS ANGELES CA,1337.4,18,34.081122,-118.22757299999999,CA,,Non-ref,WestXeric
7584,11098000.0,ARROYO SECO NR PASADENA CA,41.6,18,34.222226,-118.177573,CA,yes,Ref,WestXeric
7585,11098500.0,LOS ANGELES R NR DOWNEY CA,1591.9,18,33.949459000000004,-118.17395900000001,CA,,Non-ref,WestXeric
7586,11100000.0,SANTA ANITA C NR SIERRA MADRE CA,25.0,18,34.191672,-118.01728899999999,CA,,Ref,WestXeric
7587,11101250.0,RIO HONDO AB WHITTIER NARROWS DAM CA,237.3,18,34.058344,-118.071735,CA,,Non-ref,WestXeric
7588,11101500.0,RIO HONDO NR MONTEBELLO CA,299.8,18,34.033345000000004,-118.073679,CA,,Non-ref,WestXeric
7589,11102000.0,MISSION C NR MONTEBELLO CA,16.4,18,34.029178,-118.06951200000002,CA,,Non-ref,WestXeric
7590,11102300.0,RIO HONDO BL WHITTIER NARROWS DAM CA,326.6,18,34.016678999999996,-118.088402,CA,,Non-ref,WestXeric
